word,pos,description
그렇지는,Adjective,형용사
용이해,Adjective,형용사
요란한,Adjective,형용사
어이없,Adjective,형용사
없다라는,Adjective,형용사
산만해진다,Adjective,형용사
드럽,Adjective,형용사
옳았다만,Adjective,형용사
젊었고,Adjective,형용사
재밌어해,Adjective,형용사
있었던,Adjective,형용사
환장하겠네,Adjective,형용사
같더라도,Adjective,형용사
어떠랴,Adjective,형용사
헷갈려,Adjective,형용사
익숙하지,Adjective,형용사
비겁하게,Adjective,형용사
필요하리요,Adjective,형용사
미치지는,Adjective,형용사
관대함은,Adjective,형용사
후련해야지,Adjective,형용사
확실하고,Adjective,형용사
난하세요,Adjective,형용사
아프더라,Adjective,형용사
섹시해지는,Adjective,형용사
이런다고,Adjective,형용사
반갑던,Adjective,형용사
견고한,Adjective,형용사
시원해,Adjective,형용사
높음,Adjective,형용사
기뻤,Adjective,형용사
반하기는,Adjective,형용사
어떻다는,Adjective,형용사
가난했던,Adjective,형용사
끝내줘,Adjective,형용사
똑똑하네,Adjective,형용사
용할,Adjective,형용사
저랬나,Adjective,형용사
귀엽고,Adjective,형용사
있다단,Adjective,형용사
과격한,Adjective,형용사
안타까운데,Adjective,형용사
변하나보다,Adjective,형용사
아닐까지,Adjective,형용사
재미있네였던,Adjective,형용사
성할,Adjective,형용사
급하다면서,Adjective,형용사
좋아한다데,Adjective,형용사
신선하진,Adjective,형용사
힘들고,Adjective,형용사
대단할,Adjective,형용사
어색해졌습니다,Adjective,형용사
편함,Adjective,형용사
재밌든,Adjective,형용사
성숙했죠,Adjective,형용사
재미있네던,Adjective,형용사
용맹함,Adjective,형용사
조히,Adjective,형용사
아픈데,Adjective,형용사
귀중한,Adjective,형용사
반가워하는,Adjective,형용사
강하기보단,Adjective,형용사
부패하고,Adjective,형용사
상당함,Adjective,형용사
못지않은데,Adjective,형용사
성하다고,Adjective,형용사
황홀함이,Adjective,형용사
시시해진,Adjective,형용사
뻔하다지만,Adjective,형용사
없었나보다,Adjective,형용사
씁쓸하,Adjective,형용사
아니지,Adjective,형용사
휩쓴,Adjective,형용사
부도시에서,Adjective,형용사
어리둥절한,Adjective,형용사
여전하다,Adjective,형용사
더구만,Adjective,형용사
지루하던데,Adjective,형용사
어수선하면서,Adjective,형용사
계셨는데,Adjective,형용사
아쉬워서,Adjective,형용사
좋아하냐,Adjective,형용사
괘씸하다,Adjective,형용사
싫치만,Adjective,형용사
질척하여,Adjective,형용사
지루하나,Adjective,형용사
행복하시,Adjective,형용사
신기했음,Adjective,형용사
불쾌했습니다,Adjective,형용사
섬세하다는,Adjective,형용사
평화로워서,Adjective,형용사
꾸준히,Adjective,형용사
힘든데도,Adjective,형용사
같았구,Adjective,형용사
있다니용,Adjective,형용사
냉정할,Adjective,형용사
아니고,Adjective,형용사
계셨다면,Adjective,형용사
있는데로,Adjective,형용사
열광했지만,Adjective,형용사
허무합니,Adjective,형용사
좋았었어요,Adjective,형용사
푸근한,Adjective,형용사
특출나게,Adjective,형용사
난잡하네,Adjective,형용사
유익하기까지,Adjective,형용사
부실함은,Adjective,형용사
아무렇게나,Adjective,형용사
귀찮은,Adjective,형용사
우선하면,Adjective,형용사
힘들었는지,Adjective,형용사
밋밋했지만,Adjective,형용사
힘들겠네요,Adjective,형용사
단순해져,Adjective,형용사
안타까웠다,Adjective,형용사
넘쳤어요,Adjective,형용사
넘치는데,Adjective,형용사
짧을수록,Adjective,형용사
나약해서,Adjective,형용사
느끼함,Adjective,형용사
무서운가,Adjective,형용사
복잡하게,Adjective,형용사
강하던,Adjective,형용사
몰두할,Adjective,형용사
완벽했고,Adjective,형용사
공평하군,Adjective,형용사
당했나,Adjective,형용사
미안합니다고,Adjective,형용사
높았다고,Adjective,형용사
더했음,Adjective,형용사
엄격한,Adjective,형용사
기대한다,Adjective,형용사
무섭네,Adjective,형용사
불편함이,Adjective,형용사
조촐하게,Adjective,형용사
더운데,Adjective,형용사
